#    L    TT             EE             TE             PP             TP          
     2    0.15279E-09    0.74820E-14    0.46007E-12    0.13692E-06    0.43372E-08
     3    0.14209E-09    0.12050E-13    0.57409E-12    0.21065E-06    0.51480E-08
     4    0.13226E-09    0.13312E-13    0.58729E-12    0.27617E-06    0.55286E-08
     5    0.12470E-09    0.11553E-13    0.54116E-12    0.33401E-06    0.56770E-08
     6    0.11921E-09    0.83059E-14    0.46770E-12    0.38502E-06    0.56940E-08
     7    0.11539E-09    0.51235E-14    0.38710E-12    0.43022E-06    0.56349E-08
     8    0.11278E-09    0.28865E-14    0.31125E-12    0.47042E-06    0.55300E-08
     9    0.11123E-09    0.17200E-14    0.24723E-12    0.50635E-06    0.53956E-08
    10    0.11034E-09    0.12920E-14    0.19770E-12    0.53849E-06    0.52479E-08
    11    0.10997E-09    0.11769E-14    0.16381E-12    0.56743E-06    0.50995E-08
    12    0.11015E-09    0.10945E-14    0.14457E-12    0.59332E-06    0.49515E-08
    13    0.11065E-09    0.96197E-15    0.13717E-12    0.61677E-06    0.48108E-08
    14    0.11134E-09    0.81932E-15    0.13824E-12    0.63780E-06    0.46731E-08
    15    0.11224E-09    0.72855E-15    0.14459E-12    0.65686E-06    0.45400E-08
    16    0.11336E-09    0.71182E-15    0.15351E-12    0.67407E-06    0.44111E-08
    17    0.11466E-09    0.74662E-15    0.16290E-12    0.68949E-06    0.42851E-08
    18    0.11602E-09    0.79515E-15    0.17135E-12    0.70348E-06    0.41639E-08
    19    0.11760E-09    0.83485E-15    0.17864E-12    0.71609E-06    0.40443E-08
    20    0.11921E-09    0.86753E-15    0.18453E-12    0.72738E-06    0.39277E-08
    21    0.12090E-09    0.91184E-15    0.18942E-12    0.73750E-06    0.38145E-08
    22    0.12265E-09    0.98796E-15    0.19358E-12    0.74660E-06    0.37058E-08
    23    0.12445E-09    0.11067E-14    0.19762E-12    0.75473E-06    0.36007E-08
    24    0.12630E-09    0.12669E-14    0.20225E-12    0.76195E-06    0.34992E-08
    25    0.12821E-09    0.14608E-14    0.20785E-12    0.76836E-06    0.34027E-08
    26    0.13015E-09    0.16807E-14    0.21450E-12    0.77396E-06    0.33103E-08
    27    0.13214E-09    0.19238E-14    0.22154E-12    0.77889E-06    0.32233E-08
    28    0.13417E-09    0.21918E-14    0.22847E-12    0.78317E-06    0.31402E-08
    29    0.13624E-09    0.24857E-14    0.23497E-12    0.78684E-06    0.30601E-08
    30    0.13835E-09    0.28036E-14    0.24062E-12    0.78996E-06    0.29832E-08
    31    0.14048E-09    0.31412E-14    0.24509E-12    0.79249E-06    0.29088E-08
    32    0.14264E-09    0.34957E-14    0.24800E-12    0.79458E-06    0.28373E-08
    33    0.14484E-09    0.38674E-14    0.24904E-12    0.79623E-06    0.27678E-08
    34    0.14707E-09    0.42614E-14    0.24816E-12    0.79746E-06    0.27000E-08
    35    0.14933E-09    0.46841E-14    0.24567E-12    0.79831E-06    0.26342E-08
    36    0.15162E-09    0.51395E-14    0.24181E-12    0.79878E-06    0.25707E-08
    37    0.15392E-09    0.56303E-14    0.23675E-12    0.79889E-06    0.25095E-08
    38    0.15626E-09    0.61575E-14    0.23062E-12    0.79869E-06    0.24505E-08
    39    0.15864E-09    0.67206E-14    0.22351E-12    0.79821E-06    0.23939E-08
    40    0.16102E-09    0.73190E-14    0.21555E-12    0.79747E-06    0.23396E-08
    41    0.16345E-09    0.79528E-14    0.20673E-12    0.79646E-06    0.22876E-08
    42    0.16588E-09    0.86217E-14    0.19680E-12    0.79522E-06    0.22377E-08
    43    0.16834E-09    0.93252E-14    0.18543E-12    0.79374E-06    0.21896E-08
    44    0.17082E-09    0.10061E-13    0.17245E-12    0.79206E-06    0.21430E-08
    45    0.17334E-09    0.10829E-13    0.15784E-12    0.79017E-06    0.20977E-08
    46    0.17590E-09    0.11630E-13    0.14131E-12    0.78811E-06    0.20537E-08
    47    0.17848E-09    0.12461E-13    0.12264E-12    0.78588E-06    0.20108E-08
    48    0.18106E-09    0.13330E-13    0.10224E-12    0.78351E-06    0.19691E-08
    49    0.18365E-09    0.14241E-13    0.80473E-13    0.78099E-06    0.19285E-08
    50    0.18630E-09    0.15197E-13    0.56864E-13    0.77833E-06    0.18891E-08
    51    0.18897E-09    0.16180E-13    0.31178E-13    0.77554E-06    0.18509E-08
    52    0.19170E-09    0.17191E-13    0.37371E-14    0.77262E-06    0.18138E-08
    53    0.19443E-09    0.18245E-13   -0.25073E-13    0.76959E-06    0.17781E-08
    54    0.19716E-09    0.19343E-13   -0.55023E-13    0.76647E-06    0.17437E-08
    55    0.19991E-09    0.20489E-13   -0.86173E-13    0.76325E-06    0.17105E-08
    56    0.20271E-09    0.21671E-13   -0.11926E-12    0.75995E-06    0.16786E-08
    57    0.20554E-09    0.22880E-13   -0.15417E-12    0.75657E-06    0.16477E-08
    58    0.20840E-09    0.24121E-13   -0.19076E-12    0.75312E-06    0.16176E-08
    59    0.21127E-09    0.25401E-13   -0.22897E-12    0.74960E-06    0.15881E-08
    60    0.21415E-09    0.26719E-13   -0.26893E-12    0.74601E-06    0.15593E-08
    61    0.21710E-09    0.28076E-13   -0.31080E-12    0.74236E-06    0.15312E-08
    62    0.22006E-09    0.29466E-13   -0.35468E-12    0.73866E-06    0.15039E-08
    63    0.22305E-09    0.30886E-13   -0.40040E-12    0.73490E-06    0.14773E-08
    64    0.22609E-09    0.32341E-13   -0.44778E-12    0.73111E-06    0.14513E-08
    65    0.22913E-09    0.33831E-13   -0.49669E-12    0.72728E-06    0.14257E-08
    66    0.23220E-09    0.35353E-13   -0.54722E-12    0.72342E-06    0.14009E-08
    67    0.23529E-09    0.36906E-13   -0.59946E-12    0.71953E-06    0.13770E-08
    68    0.23843E-09    0.38495E-13   -0.65349E-12    0.71560E-06    0.13541E-08
    69    0.24160E-09    0.40112E-13   -0.70885E-12    0.71165E-06    0.13321E-08
    70    0.24481E-09    0.41760E-13   -0.76543E-12    0.70767E-06    0.13107E-08
    71    0.24806E-09    0.43433E-13   -0.82326E-12    0.70367E-06    0.12897E-08
    72    0.25133E-09    0.45131E-13   -0.88257E-12    0.69966E-06    0.12691E-08
    73    0.25462E-09    0.46852E-13   -0.94357E-12    0.69564E-06    0.12489E-08
    74    0.25793E-09    0.48595E-13   -0.10062E-11    0.69160E-06    0.12291E-08
    75    0.26128E-09    0.50365E-13   -0.10705E-11    0.68756E-06    0.12097E-08
    76    0.26464E-09    0.52164E-13   -0.11364E-11    0.68350E-06    0.11907E-08
    77    0.26803E-09    0.53989E-13   -0.12039E-11    0.67945E-06    0.11722E-08
    78    0.27147E-09    0.55843E-13   -0.12729E-11    0.67538E-06    0.11541E-08
    79    0.27492E-09    0.57716E-13   -0.13431E-11    0.67132E-06    0.11364E-08
    80    0.27842E-09    0.59607E-13   -0.14144E-11    0.66726E-06    0.11192E-08
    81    0.28194E-09    0.61508E-13   -0.14869E-11    0.66320E-06    0.11025E-08
    82    0.28551E-09    0.63422E-13   -0.15605E-11    0.65914E-06    0.10862E-08
    83    0.28911E-09    0.65346E-13   -0.16352E-11    0.65509E-06    0.10703E-08
    84    0.29275E-09    0.67280E-13   -0.17107E-11    0.65105E-06    0.10548E-08
    85    0.29641E-09    0.69222E-13   -0.17873E-11    0.64702E-06    0.10398E-08
    86    0.30010E-09    0.71173E-13   -0.18648E-11    0.64299E-06    0.10251E-08
    87    0.30384E-09    0.73129E-13   -0.19432E-11    0.63897E-06    0.10107E-08
    88    0.30758E-09    0.75093E-13   -0.20224E-11    0.63497E-06    0.99663E-09
    89    0.31137E-09    0.77062E-13   -0.21027E-11    0.63097E-06    0.98287E-09
    90    0.31519E-09    0.79032E-13   -0.21836E-11    0.62700E-06    0.96940E-09
    91    0.31902E-09    0.81001E-13   -0.22652E-11    0.62303E-06    0.95618E-09
    92    0.32289E-09    0.82968E-13   -0.23475E-11    0.61908E-06    0.94322E-09
    93    0.32680E-09    0.84932E-13   -0.24304E-11    0.61515E-06    0.93052E-09
    94    0.33071E-09    0.86888E-13   -0.25137E-11    0.61124E-06    0.91806E-09
    95    0.33467E-09    0.88837E-13   -0.25976E-11    0.60734E-06    0.90585E-09
    96    0.33862E-09    0.90775E-13   -0.26819E-11    0.60346E-06    0.89389E-09
    97    0.34263E-09    0.92701E-13   -0.27666E-11    0.59959E-06    0.88217E-09
    98    0.34666E-09    0.94615E-13   -0.28513E-11    0.59575E-06    0.87069E-09
    99    0.35071E-09    0.96511E-13   -0.29365E-11    0.59193E-06    0.85944E-09
   100    0.35480E-09    0.98389E-13   -0.30215E-11    0.58813E-06    0.84844E-09
   101    0.35891E-09    0.10026E-12   -0.31068E-11    0.58435E-06    0.83766E-09
   102    0.36309E-09    0.10210E-12   -0.31921E-11    0.58059E-06    0.82711E-09
   103    0.36725E-09    0.10392E-12   -0.32775E-11    0.57685E-06    0.81678E-09
   104    0.37145E-09    0.10572E-12   -0.33625E-11    0.57313E-06    0.80667E-09
   105    0.37567E-09    0.10749E-12   -0.34474E-11    0.56944E-06    0.79676E-09
   106    0.37992E-09    0.10924E-12   -0.35322E-11    0.56577E-06    0.78706E-09
   107    0.38416E-09    0.11096E-12   -0.36165E-11    0.56212E-06    0.77754E-09
   108    0.38844E-09    0.11264E-12   -0.37005E-11    0.55849E-06    0.76822E-09
   109    0.39275E-09    0.11429E-12   -0.37840E-11    0.55489E-06    0.75907E-09
   110    0.39706E-09    0.11590E-12   -0.38669E-11    0.55131E-06    0.75010E-09
   111    0.40139E-09    0.11748E-12   -0.39492E-11    0.54776E-06    0.74130E-09
   112    0.40574E-09    0.11902E-12   -0.40310E-11    0.54423E-06    0.73266E-09
   113    0.41012E-09    0.12052E-12   -0.41120E-11    0.54072E-06    0.72418E-09
   114    0.41451E-09    0.12197E-12   -0.41922E-11    0.53724E-06    0.71584E-09
   115    0.41892E-09    0.12340E-12   -0.42714E-11    0.53378E-06    0.70765E-09
   116    0.42334E-09    0.12477E-12   -0.43497E-11    0.53035E-06    0.69961E-09
   117    0.42779E-09    0.12608E-12   -0.44269E-11    0.52694E-06    0.69170E-09
   118    0.43226E-09    0.12738E-12   -0.45031E-11    0.52356E-06    0.68393E-09
   119    0.43673E-09    0.12862E-12   -0.45780E-11    0.52020E-06    0.67629E-09
   120    0.44122E-09    0.12979E-12   -0.46517E-11    0.51686E-06    0.66879E-09
   121    0.44570E-09    0.13094E-12   -0.47241E-11    0.51356E-06    0.66141E-09
   122    0.45020E-09    0.13202E-12   -0.47950E-11    0.51027E-06    0.65415E-09
   123    0.45471E-09    0.13304E-12   -0.48646E-11    0.50701E-06    0.64702E-09
   124    0.45922E-09    0.13402E-12   -0.49324E-11    0.50378E-06    0.64001E-09
