#    L    TT             EE             BB             TE          
     2    0.15665E+04    0.38694E-01    0.20360E-05    0.46006E+01
     3    0.16500E+04    0.54486E-01    0.40728E-05    0.50030E+01
     4    0.15907E+04    0.52916E-01    0.67896E-05    0.44841E+01
     5    0.14998E+04    0.40233E-01    0.10188E-04    0.36631E+01
     6    0.14102E+04    0.25446E-01    0.14268E-04    0.28456E+01
     7    0.13320E+04    0.14322E-01    0.19032E-04    0.21602E+01
     8    0.12674E+04    0.81886E-02    0.24481E-04    0.16481E+01
     9    0.12153E+04    0.56503E-02    0.30617E-04    0.13040E+01
    10    0.11733E+04    0.47575E-02    0.37443E-04    0.11016E+01
    11    0.11393E+04    0.42487E-02    0.44960E-04    0.10036E+01
    12    0.11130E+04    0.38324E-02    0.53171E-04    0.97836E+00
    13    0.10922E+04    0.32914E-02    0.62078E-04    0.10014E+01
    14    0.10752E+04    0.30514E-02    0.71684E-04    0.10493E+01
    15    0.10623E+04    0.30869E-02    0.81991E-04    0.11056E+01
    16    0.10535E+04    0.32523E-02    0.93003E-04    0.11585E+01
    17    0.10484E+04    0.35918E-02    0.10472E-03    0.12052E+01
    18    0.10457E+04    0.40119E-02    0.11715E-03    0.12481E+01
    19    0.10460E+04    0.45294E-02    0.13029E-03    0.12944E+01
    20    0.10473E+04    0.52282E-02    0.14414E-03    0.13474E+01
    21    0.10500E+04    0.60832E-02    0.15872E-03    0.14047E+01
    22    0.10543E+04    0.71231E-02    0.17401E-03    0.14624E+01
    23    0.10598E+04    0.83416E-02    0.19003E-03    0.15203E+01
    24    0.10664E+04    0.96984E-02    0.20677E-03    0.15794E+01
    25    0.10740E+04    0.11226E-01    0.22424E-03    0.16405E+01
    26    0.10824E+04    0.12926E-01    0.24244E-03    0.17044E+01
    27    0.10917E+04    0.14780E-01    0.26137E-03    0.17639E+01
    28    0.11019E+04    0.16791E-01    0.28104E-03    0.18126E+01
    29    0.11128E+04    0.18971E-01    0.30144E-03    0.18502E+01
    30    0.11242E+04    0.21342E-01    0.32258E-03    0.18773E+01
    31    0.11362E+04    0.23917E-01    0.34446E-03    0.18978E+01
    32    0.11488E+04    0.26692E-01    0.36707E-03    0.19146E+01
    33    0.11620E+04    0.29668E-01    0.39043E-03    0.19243E+01
    34    0.11757E+04    0.32858E-01    0.41452E-03    0.19238E+01
    35    0.11898E+04    0.36279E-01    0.43936E-03    0.19144E+01
    36    0.12042E+04    0.39950E-01    0.46494E-03    0.18969E+01
    37    0.12189E+04    0.43860E-01    0.49126E-03    0.18699E+01
    38    0.12341E+04    0.48001E-01    0.51832E-03    0.18335E+01
    39    0.12498E+04    0.52378E-01    0.54612E-03    0.17875E+01
    40    0.12659E+04    0.57004E-01    0.57466E-03    0.17316E+01
    41    0.12823E+04    0.61896E-01    0.60394E-03    0.16651E+01
    42    0.12989E+04    0.67062E-01    0.63396E-03    0.15870E+01
    43    0.13157E+04    0.72509E-01    0.66471E-03    0.14964E+01
    44    0.13326E+04    0.78229E-01    0.69620E-03    0.13933E+01
    45    0.13500E+04    0.84222E-01    0.72842E-03    0.12776E+01
    46    0.13678E+04    0.90495E-01    0.76138E-03    0.11476E+01
    47    0.13858E+04    0.97043E-01    0.79506E-03    0.10043E+01
    48    0.14040E+04    0.10387E+00    0.82947E-03    0.85232E+00
    49    0.14224E+04    0.11096E+00    0.86461E-03    0.69537E+00
    50    0.14412E+04    0.11828E+00    0.90048E-03    0.53053E+00
    51    0.14603E+04    0.12580E+00    0.93706E-03    0.35334E+00
    52    0.14799E+04    0.13361E+00    0.97437E-03    0.15876E+00
    53    0.14995E+04    0.14187E+00    0.10124E-02   -0.56524E-01
    54    0.15191E+04    0.15056E+00    0.10511E-02   -0.28787E+00
    55    0.15389E+04    0.15966E+00    0.10906E-02   -0.53051E+00
    56    0.15590E+04    0.16903E+00    0.11308E-02   -0.78584E+00
    57    0.15795E+04    0.17856E+00    0.11717E-02   -0.10536E+01
    58    0.16004E+04    0.18826E+00    0.12133E-02   -0.13343E+01
    59    0.16214E+04    0.19816E+00    0.12556E-02   -0.16284E+01
    60    0.16426E+04    0.20831E+00    0.12986E-02   -0.19352E+01
    61    0.16644E+04    0.21881E+00    0.13423E-02   -0.22537E+01
    62    0.16861E+04    0.22964E+00    0.13867E-02   -0.25848E+01
    63    0.17079E+04    0.24076E+00    0.14319E-02   -0.29296E+01
    64    0.17301E+04    0.25219E+00    0.14777E-02   -0.32894E+01
    65    0.17524E+04    0.26391E+00    0.15243E-02   -0.36650E+01
    66    0.17751E+04    0.27585E+00    0.15715E-02   -0.40545E+01
    67    0.17980E+04    0.28800E+00    0.16195E-02   -0.44555E+01
    68    0.18213E+04    0.30042E+00    0.16681E-02   -0.48664E+01
    69    0.18448E+04    0.31305E+00    0.17175E-02   -0.52855E+01
    70    0.18686E+04    0.32594E+00    0.17676E-02   -0.57148E+01
    71    0.18926E+04    0.33907E+00    0.18184E-02   -0.61568E+01
    72    0.19168E+04    0.35242E+00    0.18699E-02   -0.66126E+01
    73    0.19412E+04    0.36595E+00    0.19221E-02   -0.70827E+01
    74    0.19657E+04    0.37965E+00    0.19751E-02   -0.75659E+01
    75    0.19907E+04    0.39353E+00    0.20288E-02   -0.80606E+01
    76    0.20159E+04    0.40759E+00    0.20831E-02   -0.85660E+01
    77    0.20414E+04    0.42182E+00    0.21382E-02   -0.90819E+01
    78    0.20674E+04    0.43626E+00    0.21941E-02   -0.96096E+01
    79    0.20935E+04    0.45083E+00    0.22506E-02   -0.10145E+02
    80    0.21200E+04    0.46556E+00    0.23079E-02   -0.10691E+02
    81    0.21466E+04    0.48038E+00    0.23660E-02   -0.11246E+02
    82    0.21735E+04    0.49532E+00    0.24247E-02   -0.11811E+02
    83    0.22006E+04    0.51035E+00    0.24842E-02   -0.12384E+02
    84    0.22280E+04    0.52547E+00    0.25445E-02   -0.12965E+02
    85    0.22556E+04    0.54065E+00    0.26055E-02   -0.13554E+02
    86    0.22833E+04    0.55591E+00    0.26673E-02   -0.14150E+02
    87    0.23115E+04    0.57122E+00    0.27298E-02   -0.14753E+02
    88    0.23397E+04    0.58658E+00    0.27931E-02   -0.15362E+02
    89    0.23682E+04    0.60199E+00    0.28572E-02   -0.15979E+02
    90    0.23970E+04    0.61740E+00    0.29220E-02   -0.16601E+02
    91    0.24259E+04    0.63281E+00    0.29876E-02   -0.17228E+02
    92    0.24551E+04    0.64821E+00    0.30540E-02   -0.17860E+02
    93    0.24846E+04    0.66358E+00    0.31212E-02   -0.18497E+02
    94    0.25142E+04    0.67889E+00    0.31892E-02   -0.19137E+02
    95    0.25441E+04    0.69415E+00    0.32579E-02   -0.19782E+02
    96    0.25740E+04    0.70932E+00    0.33275E-02   -0.20430E+02
    97    0.26043E+04    0.72441E+00    0.33979E-02   -0.21081E+02
    98    0.26349E+04    0.73939E+00    0.34690E-02   -0.21732E+02
    99    0.26655E+04    0.75425E+00    0.35410E-02   -0.22387E+02
   100    0.26965E+04    0.76896E+00    0.36138E-02   -0.23041E+02
   101    0.27276E+04    0.78361E+00    0.36874E-02   -0.23697E+02
   102    0.27592E+04    0.79803E+00    0.37619E-02   -0.24353E+02
   103    0.27907E+04    0.81230E+00    0.38371E-02   -0.25010E+02
   104    0.28225E+04    0.82642E+00    0.39133E-02   -0.25664E+02
   105    0.28545E+04    0.84032E+00    0.39902E-02   -0.26318E+02
   106    0.28867E+04    0.85406E+00    0.40680E-02   -0.26970E+02
   107    0.29188E+04    0.86752E+00    0.41466E-02   -0.27620E+02
   108    0.29513E+04    0.88075E+00    0.42261E-02   -0.28267E+02
   109    0.29839E+04    0.89368E+00    0.43064E-02   -0.28911E+02
   110    0.30167E+04    0.90631E+00    0.43876E-02   -0.29550E+02
   111    0.30496E+04    0.91873E+00    0.44697E-02   -0.30185E+02
   112    0.30826E+04    0.93084E+00    0.45526E-02   -0.30816E+02
   113    0.31159E+04    0.94266E+00    0.46365E-02   -0.31441E+02
   114    0.31493E+04    0.95411E+00    0.47212E-02   -0.32060E+02
   115    0.31829E+04    0.96533E+00    0.48068E-02   -0.32672E+02
   116    0.32165E+04    0.97611E+00    0.48932E-02   -0.33277E+02
   117    0.32504E+04    0.98652E+00    0.49806E-02   -0.33873E+02
   118    0.32844E+04    0.99670E+00    0.50689E-02   -0.34462E+02
   119    0.33185E+04    0.10065E+01    0.51581E-02   -0.35041E+02
   120    0.33527E+04    0.10158E+01    0.52482E-02   -0.35610E+02
   121    0.33869E+04    0.10249E+01    0.53393E-02   -0.36169E+02
   122    0.34212E+04    0.10334E+01    0.54312E-02   -0.36718E+02
   123    0.34556E+04    0.10415E+01    0.55242E-02   -0.37256E+02
   124    0.34900E+04    0.10492E+01    0.56180E-02   -0.37780E+02
   125    0.35244E+04    0.10565E+01    0.57129E-02   -0.38292E+02
   126    0.35589E+04    0.10634E+01    0.58086E-02   -0.38792E+02
   127    0.35934E+04    0.10698E+01    0.59054E-02   -0.39279E+02
   128    0.36278E+04    0.10758E+01    0.60032E-02   -0.39752E+02
   129    0.36624E+04    0.10813E+01    0.61019E-02   -0.40211E+02
   130    0.36969E+04    0.10862E+01    0.62016E-02   -0.40654E+02
   131    0.37314E+04    0.10908E+01    0.63024E-02   -0.41082E+02
   132    0.37660E+04    0.10949E+01    0.64041E-02   -0.41494E+02
   133    0.38005E+04    0.10985E+01    0.65069E-02   -0.41891E+02
   134    0.38350E+04    0.11017E+01    0.66108E-02   -0.42269E+02
   135    0.38694E+04    0.11043E+01    0.67157E-02   -0.42631E+02
   136    0.39037E+04    0.11065E+01    0.68216E-02   -0.42972E+02
   137    0.39380E+04    0.11082E+01    0.69286E-02   -0.43296E+02
   138    0.39723E+04    0.11093E+01    0.70367E-02   -0.43601E+02
   139    0.40063E+04    0.11101E+01    0.71459E-02   -0.43887E+02
   140    0.40403E+04    0.11103E+01    0.72562E-02   -0.44153E+02
   141    0.40742E+04    0.11100E+01    0.73676E-02   -0.44398E+02
   142    0.41080E+04    0.11092E+01    0.74802E-02   -0.44623E+02
   143    0.41417E+04    0.11080E+01    0.75938E-02   -0.44827E+02
   144    0.41753E+04    0.11063E+01    0.77087E-02   -0.45010E+02
