#           k/h    P           
    0.10000E-03    0.15749E+03
    0.10202E-03    0.16080E+03
    0.10408E-03    0.16419E+03
    0.10618E-03    0.16765E+03
    0.10833E-03    0.17120E+03
    0.11052E-03    0.17484E+03
    0.11275E-03    0.17856E+03
    0.11503E-03    0.18237E+03
    0.11735E-03    0.18628E+03
    0.11972E-03    0.19029E+03
    0.12214E-03    0.19439E+03
    0.12461E-03    0.19860E+03
    0.12712E-03    0.20291E+03
    0.12969E-03    0.20734E+03
    0.13231E-03    0.21187E+03
    0.13499E-03    0.21653E+03
    0.13771E-03    0.22130E+03
    0.14049E-03    0.22621E+03
    0.14333E-03    0.23124E+03
    0.14623E-03    0.23640E+03
    0.14918E-03    0.24171E+03
    0.15220E-03    0.24716E+03
    0.15527E-03    0.25275E+03
    0.15841E-03    0.25850E+03
    0.16161E-03    0.26441E+03
    0.16487E-03    0.27049E+03
    0.16820E-03    0.27674E+03
    0.17160E-03    0.28316E+03
    0.17507E-03    0.28977E+03
    0.17860E-03    0.29657E+03
    0.18221E-03    0.30357E+03
    0.18589E-03    0.31077E+03
    0.18965E-03    0.31819E+03
    0.19348E-03    0.32582E+03
    0.19739E-03    0.33369E+03
    0.20138E-03    0.34180E+03
    0.20544E-03    0.35015E+03
    0.20959E-03    0.35876E+03
    0.21383E-03    0.36764E+03
    0.21815E-03    0.37679E+03
    0.22255E-03    0.38624E+03
    0.22705E-03    0.39598E+03
    0.23164E-03    0.40603E+03
    0.23632E-03    0.41641E+03
    0.24109E-03    0.42712E+03
    0.24596E-03    0.43819E+03
    0.25093E-03    0.44961E+03
    0.25600E-03    0.46141E+03
    0.26117E-03    0.47361E+03
    0.26645E-03    0.48621E+03
    0.27183E-03    0.49923E+03
    0.27732E-03    0.51270E+03
    0.28292E-03    0.52662E+03
    0.28864E-03    0.54101E+03
    0.29447E-03    0.55590E+03
    0.30042E-03    0.57130E+03
    0.30649E-03    0.58723E+03
    0.31268E-03    0.60371E+03
    0.31899E-03    0.62076E+03
    0.32544E-03    0.63840E+03
    0.33201E-03    0.65666E+03
    0.33872E-03    0.67556E+03
    0.34556E-03    0.69512E+03
    0.35254E-03    0.71537E+03
    0.35966E-03    0.73633E+03
    0.36693E-03    0.75802E+03
    0.37434E-03    0.78047E+03
    0.38190E-03    0.80371E+03
    0.38962E-03    0.82777E+03
    0.39749E-03    0.85266E+03
    0.40552E-03    0.87843E+03
    0.41371E-03    0.90510E+03
    0.42207E-03    0.93269E+03
    0.43060E-03    0.96124E+03
    0.43929E-03    0.99078E+03
    0.44817E-03    0.10213E+04
    0.45722E-03    0.10529E+04
    0.46646E-03    0.10856E+04
    0.47588E-03    0.11194E+04
    0.48550E-03    0.11543E+04
    0.49530E-03    0.11904E+04
    0.50531E-03    0.12277E+04
    0.51552E-03    0.12663E+04
    0.52593E-03    0.13061E+04
    0.53656E-03    0.13472E+04
    0.54739E-03    0.13896E+04
    0.55845E-03    0.14334E+04
    0.56973E-03    0.14786E+04
    0.58124E-03    0.15252E+04
    0.59299E-03    0.15732E+04
    0.60496E-03    0.16227E+04
    0.61719E-03    0.16737E+04
    0.62965E-03    0.17263E+04
    0.64237E-03    0.17804E+04
    0.65535E-03    0.18361E+04
    0.66859E-03    0.18935E+04
    0.68210E-03    0.19524E+04
    0.69588E-03    0.20130E+04
    0.70993E-03    0.20754E+04
    0.72427E-03    0.21394E+04
    0.73891E-03    0.22052E+04
    0.75383E-03    0.22727E+04
    0.76906E-03    0.23420E+04
    0.78460E-03    0.24131E+04
    0.80045E-03    0.24860E+04
    0.81662E-03    0.25607E+04
    0.83311E-03    0.26373E+04
    0.84994E-03    0.27157E+04
    0.86711E-03    0.27961E+04
    0.88463E-03    0.28783E+04
    0.90250E-03    0.29624E+04
    0.92073E-03    0.30485E+04
    0.93933E-03    0.31365E+04
    0.95831E-03    0.32264E+04
    0.97767E-03    0.33183E+04
    0.99742E-03    0.34122E+04
    0.10176E-02    0.35080E+04
    0.10381E-02    0.36059E+04
    0.10591E-02    0.37057E+04
    0.10805E-02    0.38075E+04
    0.11023E-02    0.39113E+04
    0.11246E-02    0.40172E+04
    0.11473E-02    0.41250E+04
    0.11705E-02    0.42349E+04
    0.11941E-02    0.43469E+04
    0.12182E-02    0.44609E+04
    0.12429E-02    0.45769E+04
    0.12680E-02    0.46950E+04
    0.12936E-02    0.48151E+04
    0.13197E-02    0.49373E+04
    0.13464E-02    0.50616E+04
    0.13736E-02    0.51880E+04
    0.14013E-02    0.53164E+04
    0.14296E-02    0.54470E+04
    0.14585E-02    0.55796E+04
    0.14880E-02    0.57144E+04
    0.15180E-02    0.58512E+04
    0.15487E-02    0.59902E+04
    0.15800E-02    0.61313E+04
    0.16119E-02    0.62745E+04
    0.16445E-02    0.64198E+04
    0.16777E-02    0.65673E+04
    0.17116E-02    0.67169E+04
    0.17462E-02    0.68687E+04
    0.17814E-02    0.70227E+04
    0.18174E-02    0.71788E+04
    0.18541E-02    0.73371E+04
    0.18916E-02    0.74975E+04
    0.19298E-02    0.76602E+04
    0.19688E-02    0.78250E+04
    0.20086E-02    0.79920E+04
    0.20491E-02    0.81613E+04
    0.20905E-02    0.83327E+04
    0.21328E-02    0.85063E+04
    0.21758E-02    0.86822E+04
    0.22198E-02    0.88603E+04
    0.22646E-02    0.90405E+04
    0.23104E-02    0.92231E+04
    0.23571E-02    0.94078E+04
    0.24047E-02    0.95948E+04
    0.24533E-02    0.97839E+04
    0.25028E-02    0.99753E+04
    0.25534E-02    0.10169E+05
    0.26050E-02    0.10365E+05
    0.26576E-02    0.10563E+05
    0.27113E-02    0.10763E+05
    0.27660E-02    0.10966E+05
    0.28219E-02    0.11170E+05
    0.28789E-02    0.11377E+05
    0.29371E-02    0.11586E+05
    0.29964E-02    0.11798E+05
    0.30569E-02    0.12011E+05
    0.31187E-02    0.12227E+05
    0.31817E-02    0.12444E+05
    0.32460E-02    0.12664E+05
    0.33115E-02    0.12886E+05
    0.33784E-02    0.13110E+05
    0.34467E-02    0.13336E+05
    0.35163E-02    0.13564E+05
    0.35874E-02    0.13794E+05
    0.36598E-02    0.14026E+05
    0.37338E-02    0.14260E+05
    0.38092E-02    0.14496E+05
    0.38861E-02    0.14734E+05
    0.39646E-02    0.14973E+05
    0.40447E-02    0.15215E+05
    0.41264E-02    0.15458E+05
    0.42098E-02    0.15702E+05
    0.42948E-02    0.15949E+05
    0.43816E-02    0.16197E+05
    0.44701E-02    0.16446E+05
    0.45604E-02    0.16697E+05
    0.46525E-02    0.16950E+05
    0.47465E-02    0.17203E+05
    0.48424E-02    0.17458E+05
    0.49402E-02    0.17714E+05
    0.50400E-02    0.17971E+05
    0.51419E-02    0.18230E+05
    0.52457E-02    0.18489E+05
    0.53517E-02    0.18749E+05
    0.54598E-02    0.19010E+05
    0.55701E-02    0.19271E+05
    0.56826E-02    0.19534E+05
    0.57974E-02    0.19796E+05
    0.59145E-02    0.20059E+05
    0.60340E-02    0.20322E+05
    0.61559E-02    0.20585E+05
    0.62803E-02    0.20848E+05
    0.64072E-02    0.21111E+05
    0.65366E-02    0.21373E+05
    0.66686E-02    0.21635E+05
    0.68033E-02    0.21896E+05
    0.69408E-02    0.22156E+05
    0.70810E-02    0.22416E+05
    0.72240E-02    0.22674E+05
    0.73700E-02    0.22932E+05
    0.75189E-02    0.23187E+05
    0.76708E-02    0.23441E+05
    0.78257E-02    0.23694E+05
    0.79838E-02    0.23944E+05
    0.81451E-02    0.24192E+05
    0.83096E-02    0.24437E+05
    0.84775E-02    0.24680E+05
    0.86488E-02    0.24920E+05
    0.88235E-02    0.25157E+05
    0.90017E-02    0.25391E+05
    0.91836E-02    0.25621E+05
    0.93691E-02    0.25847E+05
    0.95583E-02    0.26070E+05
    0.97514E-02    0.26288E+05
    0.99484E-02    0.26501E+05
    0.10149E-01    0.26710E+05
    0.10354E-01    0.26914E+05
    0.10564E-01    0.27112E+05
    0.10777E-01    0.27304E+05
    0.10995E-01    0.27491E+05
    0.11217E-01    0.27672E+05
    0.11443E-01    0.27846E+05
    0.11675E-01    0.28013E+05
    0.11910E-01    0.28173E+05
    0.12151E-01    0.28325E+05
    0.12397E-01    0.28470E+05
    0.12647E-01    0.28606E+05
    0.12902E-01    0.28735E+05
    0.13163E-01    0.28855E+05
    0.13429E-01    0.28966E+05
    0.13700E-01    0.29068E+05
    0.13977E-01    0.29159E+05
    0.14259E-01    0.29240E+05
    0.14547E-01    0.29309E+05
    0.14841E-01    0.29367E+05
    0.15141E-01    0.29415E+05
    0.15447E-01    0.29453E+05
    0.15759E-01    0.29482E+05
    0.16077E-01    0.29505E+05
    0.16402E-01    0.29520E+05
    0.16734E-01    0.29525E+05
    0.17072E-01    0.29517E+05
    0.17416E-01    0.29495E+05
    0.17768E-01    0.29456E+05
    0.18127E-01    0.29399E+05
    0.18493E-01    0.29327E+05
    0.18867E-01    0.29239E+05
    0.19248E-01    0.29138E+05
    0.19637E-01    0.29025E+05
    0.20034E-01    0.28900E+05
    0.20438E-01    0.28760E+05
    0.20851E-01    0.28605E+05
    0.21272E-01    0.28434E+05
    0.21702E-01    0.28244E+05
    0.22141E-01    0.28037E+05
    0.22588E-01    0.27814E+05
    0.23044E-01    0.27577E+05
    0.23510E-01    0.27327E+05
    0.23985E-01    0.27067E+05
    0.24469E-01    0.26797E+05
    0.24964E-01    0.26517E+05
    0.25468E-01    0.26227E+05
    0.25982E-01    0.25927E+05
    0.26507E-01    0.25618E+05
    0.27043E-01    0.25299E+05
    0.27589E-01    0.24970E+05
    0.28146E-01    0.24632E+05
    0.28715E-01    0.24283E+05
    0.29295E-01    0.23926E+05
    0.29887E-01    0.23559E+05
    0.30490E-01    0.23185E+05
    0.31106E-01    0.22804E+05
    0.31735E-01    0.22418E+05
    0.32376E-01    0.22027E+05
    0.33030E-01    0.21633E+05
    0.33697E-01    0.21237E+05
    0.34378E-01    0.20842E+05
    0.35072E-01    0.20448E+05
    0.35781E-01    0.20057E+05
    0.36504E-01    0.19669E+05
    0.37241E-01    0.19286E+05
    0.37993E-01    0.18908E+05
    0.38761E-01    0.18536E+05
    0.39544E-01    0.18172E+05
    0.40343E-01    0.17815E+05
    0.41158E-01    0.17466E+05
    0.41989E-01    0.17125E+05
    0.42838E-01    0.16794E+05
    0.43703E-01    0.16473E+05
    0.44586E-01    0.16162E+05
    0.45486E-01    0.15864E+05
    0.46405E-01    0.15578E+05
    0.47343E-01    0.15306E+05
    0.48299E-01    0.15048E+05
    0.49275E-01    0.14803E+05
    0.50270E-01    0.14570E+05
    0.51286E-01    0.14347E+05
    0.52322E-01    0.14134E+05
    0.53379E-01    0.13930E+05
    0.54457E-01    0.13734E+05
    0.55557E-01    0.13544E+05
    0.56680E-01    0.13359E+05
    0.57825E-01    0.13180E+05
    0.58993E-01    0.13003E+05
    0.60184E-01    0.12829E+05
    0.61400E-01    0.12655E+05
    0.62641E-01    0.12479E+05
    0.63906E-01    0.12302E+05
    0.65197E-01    0.12119E+05
    0.66514E-01    0.11931E+05
    0.67858E-01    0.11732E+05
    0.69229E-01    0.11521E+05
    0.70627E-01    0.11297E+05
    0.72054E-01    0.11063E+05
    0.73510E-01    0.10820E+05
    0.74994E-01    0.10568E+05
    0.76509E-01    0.10302E+05
    0.78055E-01    0.10020E+05
    0.79632E-01    0.97234E+04
    0.81241E-01    0.94171E+04
    0.82882E-01    0.91062E+04
    0.84556E-01    0.87937E+04
    0.86264E-01    0.84815E+04
    0.88007E-01    0.81720E+04
    0.89785E-01    0.78684E+04
    0.91598E-01    0.75733E+04
    0.93449E-01    0.72896E+04
    0.95337E-01    0.70198E+04
    0.97263E-01    0.67661E+04
    0.99227E-01    0.65307E+04
    0.10123E+00    0.63154E+04
    0.10328E+00    0.61212E+04
    0.10536E+00    0.59480E+04
    0.10749E+00    0.57952E+04
    0.10966E+00    0.56612E+04
    0.11188E+00    0.55433E+04
    0.11414E+00    0.54385E+04
    0.11644E+00    0.53428E+04
    0.11880E+00    0.52521E+04
    0.12120E+00    0.51622E+04
    0.12365E+00    0.50691E+04
    0.12614E+00    0.49692E+04
    0.12869E+00    0.48596E+04
    0.13129E+00    0.47382E+04
    0.13394E+00    0.46042E+04
    0.13665E+00    0.44576E+04
    0.13941E+00    0.43000E+04
    0.14223E+00    0.41335E+04
    0.14510E+00    0.39614E+04
    0.14803E+00    0.37875E+04
    0.15102E+00    0.36159E+04
    0.15407E+00    0.34514E+04
    0.15718E+00    0.32982E+04
    0.16036E+00    0.31599E+04
    0.16360E+00    0.30387E+04
    0.16690E+00    0.29350E+04
    0.17028E+00    0.28473E+04
    0.17371E+00    0.27729E+04
    0.17722E+00    0.27081E+04
    0.18080E+00    0.26491E+04
    0.18446E+00    0.25920E+04
    0.18818E+00    0.25326E+04
    0.19198E+00    0.24672E+04
    0.19586E+00    0.23930E+04
    0.19982E+00    0.23094E+04
    0.20386E+00    0.22179E+04
    0.20797E+00    0.21216E+04
    0.21218E+00    0.20243E+04
    0.21646E+00    0.19301E+04
    0.22083E+00    0.18424E+04
    0.22530E+00    0.17639E+04
    0.22985E+00    0.16959E+04
    0.23449E+00    0.16381E+04
    0.23923E+00    0.15887E+04
    0.24406E+00    0.15447E+04
    0.24899E+00    0.15027E+04
    0.25402E+00    0.14592E+04
    0.25915E+00    0.14118E+04
    0.26439E+00    0.13596E+04
    0.26973E+00    0.13037E+04
    0.27518E+00    0.12464E+04
    0.28074E+00    0.11902E+04
    0.28641E+00    0.11375E+04
    0.29219E+00    0.10903E+04
    0.29810E+00    0.10491E+04
    0.30412E+00    0.10128E+04
    0.31026E+00    0.97957E+03
    0.31653E+00    0.94720E+03
    0.32292E+00    0.91401E+03
    0.32945E+00    0.87907E+03
    0.33610E+00    0.84264E+03
    0.34289E+00    0.80614E+03
    0.34982E+00    0.77125E+03
    0.35689E+00    0.73906E+03
    0.36409E+00    0.70987E+03
    0.37145E+00    0.68330E+03
    0.37895E+00    0.65828E+03
    0.38661E+00    0.63361E+03
    0.39442E+00    0.60863E+03
    0.40239E+00    0.58343E+03
    0.41052E+00    0.55864E+03
    0.41881E+00    0.53499E+03
    0.42727E+00    0.51298E+03
    0.43590E+00    0.49252E+03
    0.44471E+00    0.47315E+03
    0.45369E+00    0.45434E+03
    0.46286E+00    0.43575E+03
    0.47221E+00    0.41745E+03
    0.48174E+00    0.39980E+03
    0.49148E+00    0.38303E+03
    0.50141E+00    0.36722E+03
    0.51153E+00    0.35218E+03
    0.52187E+00    0.33764E+03
    0.53241E+00    0.32349E+03
    0.54317E+00    0.30977E+03
    0.55414E+00    0.29662E+03
    0.56533E+00    0.28410E+03
