#    L    TT             EE             TE             PP             TP          
     2    0.15665E+04    0.38692E-01    0.46006E+01    0.23774E+07   -0.75020E+05
     3    0.16500E+04    0.54482E-01    0.50030E+01    0.35812E+07   -0.98215E+05
     4    0.15907E+04    0.52909E-01    0.44841E+01    0.45865E+07   -0.11074E+06
     5    0.14998E+04    0.40223E-01    0.36631E+01    0.54278E+07   -0.11707E+06
     6    0.14102E+04    0.25431E-01    0.28456E+01    0.61342E+07   -0.11974E+06
     7    0.13320E+04    0.14303E-01    0.21602E+01    0.67317E+07   -0.12018E+06
     8    0.12674E+04    0.81641E-02    0.16481E+01    0.72395E+07   -0.11928E+06
     9    0.12153E+04    0.56197E-02    0.13040E+01    0.76733E+07   -0.11759E+06
    10    0.11733E+04    0.47200E-02    0.11016E+01    0.80444E+07   -0.11539E+06
    11    0.11392E+04    0.42037E-02    0.10036E+01    0.83644E+07   -0.11285E+06
    12    0.11129E+04    0.37792E-02    0.97839E+00    0.86385E+07   -0.11004E+06
    13    0.10920E+04    0.32294E-02    0.10014E+01    0.88730E+07   -0.10706E+06
    14    0.10751E+04    0.29797E-02    0.10493E+01    0.90745E+07   -0.10403E+06
    15    0.10621E+04    0.30049E-02    0.11057E+01    0.92470E+07   -0.10103E+06
    16    0.10533E+04    0.31594E-02    0.11585E+01    0.93940E+07   -0.98094E+05
    17    0.10482E+04    0.34871E-02    0.12053E+01    0.95188E+07   -0.95233E+05
    18    0.10455E+04    0.38948E-02    0.12482E+01    0.96243E+07   -0.92425E+05
    19    0.10457E+04    0.43992E-02    0.12945E+01    0.97122E+07   -0.89672E+05
    20    0.10470E+04    0.50841E-02    0.13476E+01    0.97840E+07   -0.86983E+05
    21    0.10497E+04    0.59245E-02    0.14049E+01    0.98418E+07   -0.84371E+05
    22    0.10539E+04    0.69492E-02    0.14626E+01    0.98877E+07   -0.81847E+05
    23    0.10594E+04    0.81517E-02    0.15206E+01    0.99228E+07   -0.79404E+05
    24    0.10660E+04    0.94918E-02    0.15798E+01    0.99478E+07   -0.77033E+05
    25    0.10736E+04    0.11002E-01    0.16410E+01    0.99639E+07   -0.74730E+05
    26    0.10819E+04    0.12684E-01    0.17049E+01    0.99722E+07   -0.72499E+05
    27    0.10913E+04    0.14519E-01    0.17645E+01    0.99736E+07   -0.70345E+05
    28    0.11014E+04    0.16510E-01    0.18133E+01    0.99687E+07   -0.68271E+05
    29    0.11122E+04    0.18671E-01    0.18510E+01    0.99578E+07   -0.66265E+05
    30    0.11237E+04    0.21021E-01    0.18782E+01    0.99409E+07   -0.64317E+05
    31    0.11356E+04    0.23573E-01    0.18987E+01    0.99191E+07   -0.62433E+05
    32    0.11481E+04    0.26326E-01    0.19156E+01    0.98933E+07   -0.60616E+05
    33    0.11613E+04    0.29279E-01    0.19255E+01    0.98637E+07   -0.58865E+05
    34    0.11750E+04    0.32445E-01    0.19251E+01    0.98308E+07   -0.57178E+05
    35    0.11891E+04    0.35842E-01    0.19158E+01    0.97947E+07   -0.55551E+05
    36    0.12034E+04    0.39488E-01    0.18985E+01    0.97558E+07   -0.53982E+05
    37    0.12180E+04    0.43372E-01    0.18716E+01    0.97144E+07   -0.52460E+05
    38    0.12332E+04    0.47487E-01    0.18353E+01    0.96708E+07   -0.50976E+05
    39    0.12489E+04    0.51836E-01    0.17895E+01    0.96252E+07   -0.49533E+05
    40    0.12649E+04    0.56435E-01    0.17337E+01    0.95776E+07   -0.48137E+05
