#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.15665E+04    0.46006E+01   -0.80480E-02    0.46006E+01    0.38692E-01   -0.17605E-04   -0.80480E-02   -0.17605E-04    0.11461E-06
     3    0.16500E+04    0.50030E+01   -0.88299E-02    0.50030E+01    0.54482E-01   -0.19339E-04   -0.88299E-02   -0.19339E-04    0.13641E-06
     4    0.15907E+04    0.44841E+01   -0.90372E-02    0.44841E+01    0.52909E-01   -0.17875E-04   -0.90372E-02   -0.17875E-04    0.15354E-06
     5    0.14998E+04    0.36631E+01   -0.89864E-02    0.36631E+01    0.40223E-01   -0.14509E-04   -0.89864E-02   -0.14509E-04    0.16746E-06
     6    0.14102E+04    0.28456E+01   -0.88109E-02    0.28456E+01    0.25431E-01   -0.10323E-04   -0.88109E-02   -0.10323E-04    0.17889E-06
     7    0.13320E+04    0.21602E+01   -0.85740E-02    0.21602E+01    0.14303E-01   -0.62112E-05   -0.85740E-02   -0.62112E-05    0.18838E-06
     8    0.12674E+04    0.16481E+01   -0.83110E-02    0.16481E+01    0.81641E-02   -0.28501E-05   -0.83110E-02   -0.28501E-05    0.19631E-06
     9    0.12153E+04    0.13040E+01   -0.80422E-02    0.13040E+01    0.56197E-02   -0.64043E-06   -0.80422E-02   -0.64043E-06    0.20297E-06
    10    0.11733E+04    0.11016E+01   -0.77736E-02    0.11016E+01    0.47200E-02    0.38508E-06   -0.77736E-02    0.38508E-06    0.20855E-06
    11    0.11392E+04    0.10036E+01   -0.75084E-02    0.10036E+01    0.42037E-02    0.48391E-06   -0.75084E-02    0.48391E-06    0.21327E-06
    12    0.11129E+04    0.97839E+00   -0.72452E-02    0.97839E+00    0.37792E-02   -0.23653E-07   -0.72452E-02   -0.23653E-07    0.21721E-06
    13    0.10920E+04    0.10014E+01   -0.69868E-02    0.10014E+01    0.32294E-02   -0.90779E-06   -0.69868E-02   -0.90779E-06    0.22048E-06
    14    0.10751E+04    0.10493E+01   -0.67372E-02    0.10493E+01    0.29797E-02   -0.19432E-05   -0.67372E-02   -0.19432E-05    0.22319E-06
    15    0.10621E+04    0.11057E+01   -0.64990E-02    0.11057E+01    0.30049E-02   -0.28234E-05   -0.64990E-02   -0.28234E-05    0.22542E-06
    16    0.10533E+04    0.11585E+01   -0.62735E-02    0.11585E+01    0.31594E-02   -0.32855E-05   -0.62735E-02   -0.32855E-05    0.22721E-06
    17    0.10482E+04    0.12053E+01   -0.60589E-02    0.12053E+01    0.34871E-02   -0.33212E-05   -0.60589E-02   -0.33212E-05    0.22864E-06
