#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.103902E-04   0.117364E+08   0.117364E+08   0.156355E+08   0.156352E+08   0.117384E+08   0.117364E+08   0.117364E+08   0.117404E+08  -0.277485E+00   0.103632E+08   0.103632E+08   0.541246E+01
   0.114728E-04   0.117370E+08   0.117370E+08   0.156333E+08   0.156329E+08   0.117390E+08   0.117370E+08   0.117370E+08   0.117410E+08  -0.277498E+00   0.103634E+08   0.103634E+08   0.597621E+01
   0.126682E-04   0.117376E+08   0.117376E+08   0.156307E+08   0.156302E+08   0.117396E+08   0.117376E+08   0.117376E+08   0.117416E+08  -0.277512E+00   0.103636E+08   0.103636E+08   0.659864E+01
   0.139881E-04   0.117384E+08   0.117384E+08   0.156275E+08   0.156268E+08   0.117403E+08   0.117384E+08   0.117384E+08   0.117424E+08  -0.277531E+00   0.103638E+08   0.103638E+08   0.728583E+01
   0.154456E-04   0.117393E+08   0.117393E+08   0.156235E+08   0.156228E+08   0.117412E+08   0.117393E+08   0.117393E+08   0.117433E+08  -0.277553E+00   0.103641E+08   0.103641E+08   0.804450E+01
   0.170549E-04   0.117404E+08   0.117404E+08   0.156187E+08   0.156178E+08   0.117424E+08   0.117404E+08   0.117404E+08   0.117444E+08  -0.277580E+00   0.103645E+08   0.103645E+08   0.888206E+01
   0.188319E-04   0.117418E+08   0.117418E+08   0.156129E+08   0.156118E+08   0.117437E+08   0.117418E+08   0.117418E+08   0.117458E+08  -0.277613E+00   0.103649E+08   0.103649E+08   0.980667E+01
   0.207941E-04   0.117435E+08   0.117435E+08   0.156057E+08   0.156044E+08   0.117454E+08   0.117435E+08   0.117435E+08   0.117475E+08  -0.277653E+00   0.103655E+08   0.103655E+08   0.108273E+02
   0.229607E-04   0.117456E+08   0.117456E+08   0.155970E+08   0.155954E+08   0.117475E+08   0.117456E+08   0.117456E+08   0.117496E+08  -0.277701E+00   0.103661E+08   0.103661E+08   0.119540E+02
   0.253530E-04   0.117481E+08   0.117481E+08   0.155864E+08   0.155844E+08   0.117499E+08   0.117481E+08   0.117481E+08   0.117521E+08  -0.277761E+00   0.103670E+08   0.103670E+08   0.131974E+02
   0.279946E-04   0.117512E+08   0.117512E+08   0.155735E+08   0.155711E+08   0.117530E+08   0.117512E+08   0.117512E+08   0.117552E+08  -0.277833E+00   0.103680E+08   0.103680E+08   0.145698E+02
   0.309115E-04   0.117549E+08   0.117549E+08   0.155578E+08   0.155548E+08   0.117566E+08   0.117549E+08   0.117549E+08   0.117589E+08  -0.277921E+00   0.103692E+08   0.103692E+08   0.160842E+02
   0.341323E-04   0.117595E+08   0.117595E+08   0.155386E+08   0.155350E+08   0.117611E+08   0.117595E+08   0.117595E+08   0.117635E+08  -0.278029E+00   0.103706E+08   0.103706E+08   0.177551E+02
   0.376886E-04   0.117651E+08   0.117651E+08   0.155153E+08   0.155109E+08   0.117666E+08   0.117651E+08   0.117651E+08   0.117690E+08  -0.278160E+00   0.103724E+08   0.103724E+08   0.195983E+02
   0.416155E-04   0.117718E+08   0.117718E+08   0.154868E+08   0.154815E+08   0.117732E+08   0.117718E+08   0.117718E+08   0.117758E+08  -0.278319E+00   0.103746E+08   0.103746E+08   0.216314E+02
   0.459515E-04   0.117801E+08   0.117801E+08   0.154522E+08   0.154457E+08   0.117813E+08   0.117801E+08   0.117801E+08   0.117840E+08  -0.278513E+00   0.103773E+08   0.103773E+08   0.238731E+02
   0.507394E-04   0.117901E+08   0.117901E+08   0.154101E+08   0.154022E+08   0.117912E+08   0.117901E+08   0.117901E+08   0.117940E+08  -0.278750E+00   0.103805E+08   0.103805E+08   0.263443E+02
   0.560260E-04   0.118023E+08   0.118023E+08   0.153589E+08   0.153493E+08   0.118032E+08   0.118023E+08   0.118023E+08   0.118062E+08  -0.279037E+00   0.103845E+08   0.103845E+08   0.290673E+02
   0.618636E-04   0.118171E+08   0.118171E+08   0.152966E+08   0.152849E+08   0.118178E+08   0.118171E+08   0.118171E+08   0.118210E+08  -0.279386E+00   0.103893E+08   0.103893E+08   0.320665E+02
   0.683093E-04   0.118351E+08   0.118351E+08   0.152209E+08   0.152066E+08   0.118355E+08   0.118351E+08   0.118351E+08   0.118390E+08  -0.279810E+00   0.103951E+08   0.103951E+08   0.353681E+02
   0.754267E-04   0.118570E+08   0.118569E+08   0.151289E+08   0.151116E+08   0.118570E+08   0.118570E+08   0.118570E+08   0.118608E+08  -0.280325E+00   0.104022E+08   0.104022E+08   0.390001E+02
   0.832856E-04   0.118835E+08   0.118834E+08   0.150174E+08   0.149964E+08   0.118830E+08   0.118835E+08   0.118835E+08   0.118873E+08  -0.280950E+00   0.104108E+08   0.104108E+08   0.429923E+02
   0.919634E-04   0.119156E+08   0.119155E+08   0.148822E+08   0.148567E+08   0.119146E+08   0.119156E+08   0.119156E+08   0.119194E+08  -0.281707E+00   0.104212E+08   0.104211E+08   0.473759E+02
   0.101545E-03   0.119544E+08   0.119544E+08   0.147186E+08   0.146877E+08   0.119528E+08   0.119544E+08   0.119544E+08   0.119582E+08  -0.282622E+00   0.104337E+08   0.104337E+08   0.521835E+02
   0.112126E-03   0.120014E+08   0.120013E+08   0.145208E+08   0.144836E+08   0.119989E+08   0.120013E+08   0.120014E+08   0.120050E+08  -0.283728E+00   0.104490E+08   0.104489E+08   0.574481E+02
   0.123808E-03   0.120579E+08   0.120579E+08   0.142824E+08   0.142375E+08   0.120544E+08   0.120579E+08   0.120579E+08   0.120615E+08  -0.285060E+00   0.104673E+08   0.104673E+08   0.632025E+02
   0.136708E-03   0.121259E+08   0.121259E+08   0.139957E+08   0.139415E+08   0.121212E+08   0.121259E+08   0.121259E+08   0.121295E+08  -0.286663E+00   0.104893E+08   0.104893E+08   0.694781E+02
   0.150952E-03   0.122075E+08   0.122074E+08   0.136518E+08   0.135867E+08   0.122013E+08   0.122074E+08   0.122075E+08   0.122109E+08  -0.288584E+00   0.105158E+08   0.105158E+08   0.763032E+02
   0.166680E-03   0.123049E+08   0.123048E+08   0.132409E+08   0.131631E+08   0.122970E+08   0.123049E+08   0.123049E+08   0.123082E+08  -0.290880E+00   0.105474E+08   0.105474E+08   0.837004E+02
   0.184047E-03   0.124209E+08   0.124207E+08   0.127523E+08   0.126595E+08   0.124107E+08   0.124208E+08   0.124208E+08   0.124240E+08  -0.293611E+00   0.105851E+08   0.105851E+08   0.916843E+02
   0.203224E-03   0.125581E+08   0.125579E+08   0.121747E+08   0.120646E+08   0.125453E+08   0.125580E+08   0.125581E+08   0.125611E+08  -0.296845E+00   0.106298E+08   0.106297E+08   0.100257E+03
   0.224398E-03   0.127197E+08   0.127195E+08   0.114966E+08   0.113669E+08   0.127036E+08   0.127196E+08   0.127197E+08   0.127225E+08  -0.300652E+00   0.106824E+08   0.106823E+08   0.109402E+03
   0.247779E-03   0.129086E+08   0.129083E+08   0.107078E+08   0.105560E+08   0.128886E+08   0.129085E+08   0.129086E+08   0.129112E+08  -0.305103E+00   0.107440E+08   0.107439E+08   0.119081E+03
   0.273596E-03   0.131277E+08   0.131274E+08   0.980033E+07   0.962445E+07   0.131029E+08   0.131276E+08   0.131277E+08   0.131301E+08  -0.310265E+00   0.108156E+08   0.108155E+08   0.129223E+03
   0.302103E-03   0.133795E+08   0.133791E+08   0.877109E+07   0.856957E+07   0.133488E+08   0.133793E+08   0.133795E+08   0.133816E+08  -0.316196E+00   0.108980E+08   0.108979E+08   0.139718E+03
   0.333580E-03   0.136659E+08   0.136654E+08   0.762446E+07   0.739682E+07   0.136280E+08   0.136656E+08   0.136658E+08   0.136675E+08  -0.322941E+00   0.109919E+08   0.109917E+08   0.150406E+03
   0.368336E-03   0.139875E+08   0.139869E+08   0.637601E+07   0.612336E+07   0.139409E+08   0.139872E+08   0.139874E+08   0.139888E+08  -0.330519E+00   0.110975E+08   0.110973E+08   0.161070E+03
   0.406714E-03   0.143441E+08   0.143434E+08   0.505636E+07   0.478206E+07   0.142869E+08   0.143437E+08   0.143440E+08   0.143450E+08  -0.338918E+00   0.112149E+08   0.112147E+08   0.171427E+03
   0.449091E-03   0.147334E+08   0.147326E+08   0.371461E+07   0.342494E+07   0.146635E+08   0.147330E+08   0.147333E+08   0.147339E+08  -0.348090E+00   0.113433E+08   0.113431E+08   0.181127E+03
   0.495883E-03   0.151517E+08   0.151507E+08   0.241977E+07   0.212443E+07   0.150662E+08   0.151512E+08   0.151515E+08   0.151517E+08  -0.357943E+00   0.114816E+08   0.114813E+08   0.189761E+03
   0.547551E-03   0.155932E+08   0.155920E+08   0.125778E+07   0.969941E+06   0.154888E+08   0.155925E+08   0.155930E+08   0.155928E+08  -0.368343E+00   0.116278E+08   0.116275E+08   0.196873E+03
   0.604602E-03   0.160504E+08   0.160491E+08   0.321467E+06   0.570776E+05   0.159232E+08   0.160496E+08   0.160502E+08   0.160497E+08  -0.379117E+00   0.117794E+08   0.117791E+08   0.202000E+03
   0.667597E-03   0.165149E+08   0.165133E+08  -0.308808E+06  -0.532858E+06   0.163601E+08   0.165139E+08   0.165146E+08   0.165138E+08  -0.390062E+00   0.119335E+08   0.119331E+08   0.204717E+03
   0.737156E-03   0.169770E+08   0.169753E+08  -0.592673E+06  -0.761623E+06   0.167890E+08   0.169759E+08   0.169767E+08   0.169757E+08  -0.400956E+00   0.120868E+08   0.120863E+08   0.204701E+03
   0.813963E-03   0.174274E+08   0.174254E+08  -0.558080E+06  -0.663077E+06   0.171995E+08   0.174260E+08   0.174271E+08   0.174259E+08  -0.411574E+00   0.122357E+08   0.122352E+08   0.201791E+03
   0.898772E-03   0.178570E+08   0.178548E+08  -0.314069E+06  -0.355292E+06   0.175813E+08   0.178554E+08   0.178566E+08   0.178553E+08  -0.421706E+00   0.123771E+08   0.123765E+08   0.196032E+03
   0.992418E-03   0.182580E+08   0.182556E+08  -0.267047E+05  -0.137262E+05   0.179253E+08   0.182561E+08   0.182576E+08   0.182561E+08  -0.431164E+00   0.125079E+08   0.125073E+08   0.187671E+03
   0.109582E-02   0.186240E+08   0.186215E+08   0.151983E+06   0.204232E+06   0.182236E+08   0.186218E+08   0.186236E+08   0.186218E+08  -0.439797E+00   0.126256E+08   0.126250E+08   0.177105E+03
   0.121000E-02   0.189504E+08   0.189477E+08   0.174146E+06   0.252763E+06   0.184700E+08   0.189478E+08   0.189500E+08   0.189478E+08  -0.447493E+00   0.127283E+08   0.127277E+08   0.164807E+03
   0.133607E-02   0.192341E+08   0.192313E+08   0.128163E+06   0.228036E+06   0.186600E+08   0.192311E+08   0.192337E+08   0.192311E+08  -0.454180E+00   0.128144E+08   0.128138E+08   0.151285E+03
   0.147528E-02   0.194737E+08   0.194708E+08   0.141793E+06   0.263954E+06   0.187914E+08   0.194701E+08   0.194732E+08   0.194702E+08  -0.459823E+00   0.128830E+08   0.128824E+08   0.137116E+03
   0.162899E-02   0.196688E+08   0.196660E+08   0.220000E+06   0.505414E+06   0.188627E+08   0.196648E+08   0.196684E+08   0.196648E+08  -0.464418E+00   0.129337E+08   0.129331E+08   0.122997E+03
   0.179872E-02   0.198203E+08   0.198175E+08   0.241582E+06   0.417724E+06   0.188739E+08   0.198156E+08   0.198199E+08   0.198157E+08  -0.467978E+00   0.129662E+08   0.129656E+08   0.109676E+03
   0.198614E-02   0.199295E+08   0.199266E+08   0.180835E+06   0.344496E+06   0.188262E+08   0.199240E+08   0.199290E+08   0.199241E+08  -0.470537E+00   0.129806E+08   0.129800E+08   0.977376E+02
   0.219308E-02   0.199979E+08   0.199949E+08   0.161357E+06   0.283519E+06   0.187214E+08   0.199916E+08   0.199974E+08   0.199917E+08  -0.472132E+00   0.129771E+08   0.129765E+08   0.874544E+02
   0.242158E-02   0.200273E+08   0.200243E+08   0.171622E+06   0.232879E+06   0.185621E+08   0.200202E+08   0.200268E+08   0.200203E+08  -0.472806E+00   0.129558E+08   0.129552E+08   0.788199E+02
   0.267389E-02   0.200195E+08   0.200164E+08   0.130006E+06   0.190929E+06   0.183512E+08   0.200115E+08   0.200190E+08   0.200115E+08  -0.472598E+00   0.129170E+08   0.129164E+08   0.715502E+02
   0.295250E-02   0.199760E+08   0.199727E+08   0.123130E+06   0.156256E+06   0.180914E+08   0.199670E+08   0.199755E+08   0.199670E+08  -0.471546E+00   0.128609E+08   0.128603E+08   0.651235E+02
   0.326012E-02   0.198981E+08   0.198946E+08   0.101829E+06   0.127658E+06   0.177849E+08   0.198880E+08   0.198976E+08   0.198880E+08  -0.469680E+00   0.127874E+08   0.127868E+08   0.591014E+02
   0.359981E-02   0.197869E+08   0.197831E+08   0.840073E+05   0.104117E+06   0.174333E+08   0.197756E+08   0.197863E+08   0.197757E+08  -0.467026E+00   0.126966E+08   0.126960E+08   0.533158E+02
   0.397488E-02   0.196430E+08   0.196390E+08   0.650688E+05   0.847741E+05   0.170373E+08   0.196306E+08   0.196424E+08   0.196306E+08  -0.463600E+00   0.125883E+08   0.125877E+08   0.479219E+02
   0.438904E-02   0.194671E+08   0.194626E+08   0.605672E+05   0.689070E+05   0.165976E+08   0.194534E+08   0.194664E+08   0.194534E+08  -0.459414E+00   0.124623E+08   0.124617E+08   0.431475E+02
   0.484634E-02   0.192592E+08   0.192543E+08   0.461338E+05   0.559124E+05   0.161162E+08   0.192442E+08   0.192584E+08   0.192442E+08  -0.454473E+00   0.123182E+08   0.123177E+08   0.389877E+02
   0.535130E-02   0.190193E+08   0.190139E+08   0.357700E+05   0.452870E+05   0.155945E+08   0.190030E+08   0.190184E+08   0.190030E+08  -0.448776E+00   0.121558E+08   0.121552E+08   0.352188E+02
   0.590887E-02   0.187478E+08   0.187418E+08   0.306719E+05   0.366131E+05   0.150120E+08   0.187299E+08   0.187468E+08   0.187299E+08  -0.442328E+00   0.119746E+08   0.119741E+08   0.317354E+02
   0.652453E-02   0.184430E+08   0.184363E+08   0.238539E+05   0.295410E+05   0.143998E+08   0.184236E+08   0.184419E+08   0.184236E+08  -0.435094E+00   0.117737E+08   0.117731E+08   0.286173E+02
