#    L    TT             EE             BB             TE          
     2    0.51257E+04    0.55395E-01    0.15326E-05    0.41387E+01
     3    0.59037E+04    0.88688E-01    0.30658E-05    0.50274E+01
     4    0.59291E+04    0.98026E-01    0.51111E-05    0.48629E+01
     5    0.56157E+04    0.85546E-01    0.76691E-05    0.43197E+01
     6    0.51802E+04    0.62187E-01    0.10741E-04    0.36720E+01
     7    0.47275E+04    0.38990E-01    0.14328E-04    0.30301E+01
     8    0.43009E+04    0.22277E-01    0.18431E-04    0.24386E+01
     9    0.39166E+04    0.13132E-01    0.23052E-04    0.19493E+01
    10    0.35778E+04    0.94296E-02    0.28193E-04    0.15822E+01
    11    0.32828E+04    0.82951E-02    0.33855E-04    0.13135E+01
    12    0.30274E+04    0.77474E-02    0.40039E-04    0.11500E+01
    13    0.28053E+04    0.69331E-02    0.46750E-04    0.10808E+01
    14    0.26118E+04    0.60476E-02    0.53987E-04    0.10836E+01
    15    0.24436E+04    0.53775E-02    0.61754E-04    0.11305E+01
    16    0.22978E+04    0.51252E-02    0.70052E-04    0.11955E+01
    17    0.21715E+04    0.52854E-02    0.78884E-04    0.12635E+01
    18    0.20614E+04    0.56165E-02    0.88253E-04    0.13255E+01
    19    0.19661E+04    0.59875E-02    0.98159E-04    0.13789E+01
    20    0.18823E+04    0.63778E-02    0.10861E-03    0.14210E+01
    21    0.18089E+04    0.68314E-02    0.11960E-03    0.14550E+01
    22    0.17450E+04    0.74796E-02    0.13113E-03    0.14850E+01
    23    0.16893E+04    0.83788E-02    0.14321E-03    0.15151E+01
    24    0.16409E+04    0.95270E-02    0.15584E-03    0.15492E+01
    25    0.15990E+04    0.10934E-01    0.16902E-03    0.15889E+01
    26    0.15627E+04    0.12566E-01    0.18276E-03    0.16355E+01
    27    0.15317E+04    0.14381E-01    0.19704E-03    0.16836E+01
    28    0.15053E+04    0.16363E-01    0.21189E-03    0.17288E+01
    29    0.14829E+04    0.18523E-01    0.22729E-03    0.17700E+01
    30    0.14642E+04    0.20877E-01    0.24324E-03    0.18055E+01
    31    0.14487E+04    0.23410E-01    0.25976E-03    0.18339E+01
    32    0.14363E+04    0.26095E-01    0.27683E-03    0.18531E+01
    33    0.14267E+04    0.28944E-01    0.29447E-03    0.18601E+01
    34    0.14195E+04    0.31987E-01    0.31266E-03    0.18536E+01
    35    0.14144E+04    0.35245E-01    0.33142E-03    0.18376E+01
    36    0.14113E+04    0.38738E-01    0.35073E-03    0.18147E+01
    37    0.14098E+04    0.42460E-01    0.37061E-03    0.17812E+01
    38    0.14103E+04    0.46407E-01    0.39105E-03    0.17353E+01
    39    0.14125E+04    0.50592E-01    0.41204E-03    0.16791E+01
    40    0.14160E+04    0.55034E-01    0.43360E-03    0.16156E+01
    41    0.14209E+04    0.59755E-01    0.45571E-03    0.15468E+01
    42    0.14267E+04    0.64754E-01    0.47838E-03    0.14706E+01
    43    0.14336E+04    0.70030E-01    0.50160E-03    0.13840E+01
    44    0.14414E+04    0.75562E-01    0.52538E-03    0.12850E+01
    45    0.14502E+04    0.81342E-01    0.54971E-03    0.11717E+01
    46    0.14600E+04    0.87368E-01    0.57460E-03    0.10408E+01
    47    0.14706E+04    0.93642E-01    0.60003E-03    0.89422E+00
    48    0.14818E+04    0.10017E+00    0.62602E-03    0.73770E+00
    49    0.14937E+04    0.10695E+00    0.65254E-03    0.57642E+00
    50    0.15065E+04    0.11396E+00    0.67962E-03    0.40880E+00
    51    0.15199E+04    0.12118E+00    0.70724E-03    0.23136E+00
    52    0.15342E+04    0.12868E+00    0.73540E-03    0.38829E-01
    53    0.15488E+04    0.13661E+00    0.76410E-03   -0.17266E+00
    54    0.15637E+04    0.14496E+00    0.79334E-03   -0.39901E+00
    55    0.15791E+04    0.15370E+00    0.82311E-03   -0.63602E+00
    56    0.15951E+04    0.16268E+00    0.85343E-03   -0.88555E+00
    57    0.16116E+04    0.17181E+00    0.88427E-03   -0.11474E+01
    58    0.16288E+04    0.18108E+00    0.91565E-03   -0.14222E+01
    59    0.16463E+04    0.19054E+00    0.94756E-03   -0.17105E+01
    60    0.16642E+04    0.20025E+00    0.98001E-03   -0.20114E+01
    61    0.16828E+04    0.21031E+00    0.10130E-02   -0.23241E+01
    62    0.17015E+04    0.22069E+00    0.10465E-02   -0.26493E+01
    63    0.17204E+04    0.23136E+00    0.10805E-02   -0.29882E+01
    64    0.17400E+04    0.24233E+00    0.11151E-02   -0.33421E+01
    65    0.17597E+04    0.25356E+00    0.11502E-02   -0.37115E+01
    66    0.17800E+04    0.26500E+00    0.11858E-02   -0.40948E+01
