#    L    TT             EE             TE             PP             TP          
     2    0.51257E+04    0.55394E-01    0.41387E+01    0.16661E+07   -0.37046E+05
     3    0.59037E+04    0.88685E-01    0.50274E+01    0.24880E+07   -0.45182E+05
     4    0.59291E+04    0.98021E-01    0.48629E+01    0.31775E+07   -0.44486E+05
     5    0.56156E+04    0.85539E-01    0.43197E+01    0.37659E+07   -0.40821E+05
     6    0.51802E+04    0.62176E-01    0.36720E+01    0.42740E+07   -0.36656E+05
     7    0.47275E+04    0.38975E-01    0.30301E+01    0.47180E+07   -0.32949E+05
     8    0.43008E+04    0.22259E-01    0.24386E+01    0.51087E+07   -0.30041E+05
     9    0.39166E+04    0.13109E-01    0.19493E+01    0.54545E+07   -0.27989E+05
    10    0.35777E+04    0.94014E-02    0.15822E+01    0.57608E+07   -0.26671E+05
    11    0.32828E+04    0.82613E-02    0.13135E+01    0.60339E+07   -0.25896E+05
    12    0.30273E+04    0.77074E-02    0.11501E+01    0.62756E+07   -0.25488E+05
    13    0.28053E+04    0.68864E-02    0.10808E+01    0.64892E+07   -0.25346E+05
    14    0.26118E+04    0.59936E-02    0.10837E+01    0.66783E+07   -0.25396E+05
    15    0.24435E+04    0.53158E-02    0.11306E+01    0.68450E+07   -0.25600E+05
    16    0.22977E+04    0.50552E-02    0.11956E+01    0.69912E+07   -0.25920E+05
    17    0.21714E+04    0.52066E-02    0.12636E+01    0.71189E+07   -0.26286E+05
    18    0.20613E+04    0.55283E-02    0.13256E+01    0.72301E+07   -0.26630E+05
    19    0.19660E+04    0.58894E-02    0.13791E+01    0.73258E+07   -0.26931E+05
    20    0.18821E+04    0.62693E-02    0.14211E+01    0.74070E+07   -0.27178E+05
    21    0.18087E+04    0.67119E-02    0.14552E+01    0.74752E+07   -0.27366E+05
    22    0.17448E+04    0.73486E-02    0.14852E+01    0.75321E+07   -0.27489E+05
    23    0.16891E+04    0.82358E-02    0.15153E+01    0.75785E+07   -0.27533E+05
    24    0.16407E+04    0.93714E-02    0.15495E+01    0.76152E+07   -0.27485E+05
    25    0.15988E+04    0.10765E-01    0.15893E+01    0.76432E+07   -0.27344E+05
    26    0.15625E+04    0.12384E-01    0.16358E+01    0.76634E+07   -0.27117E+05
    27    0.15314E+04    0.14184E-01    0.16840E+01    0.76766E+07   -0.26812E+05
    28    0.15049E+04    0.16152E-01    0.17293E+01    0.76835E+07   -0.26439E+05
    29    0.14826E+04    0.18297E-01    0.17705E+01    0.76845E+07   -0.25995E+05
    30    0.14639E+04    0.20635E-01    0.18062E+01    0.76797E+07   -0.25481E+05
    31    0.14483E+04    0.23151E-01    0.18346E+01    0.76700E+07   -0.24910E+05
    32    0.14358E+04    0.25819E-01    0.18539E+01    0.76563E+07   -0.24298E+05
    33    0.14262E+04    0.28651E-01    0.18610E+01    0.76390E+07   -0.23656E+05
    34    0.14190E+04    0.31676E-01    0.18546E+01    0.76183E+07   -0.22990E+05
    35    0.14139E+04    0.34915E-01    0.18386E+01    0.75947E+07   -0.22306E+05
    36    0.14107E+04    0.38389E-01    0.18158E+01    0.75685E+07   -0.21606E+05
    37    0.14093E+04    0.42092E-01    0.17825E+01    0.75399E+07   -0.20886E+05
    38    0.14097E+04    0.46019E-01    0.17367E+01    0.75094E+07   -0.20144E+05
    39    0.14118E+04    0.50184E-01    0.16806E+01    0.74770E+07   -0.19389E+05
    40    0.14153E+04    0.54605E-01    0.16172E+01    0.74430E+07   -0.18633E+05
    41    0.14201E+04    0.59304E-01    0.15485E+01    0.74075E+07   -0.17887E+05
    42    0.14260E+04    0.64282E-01    0.14724E+01    0.73707E+07   -0.17153E+05
    43    0.14328E+04    0.69534E-01    0.13860E+01    0.73328E+07   -0.16432E+05
    44    0.14405E+04    0.75044E-01    0.12871E+01    0.72939E+07   -0.15725E+05
    45    0.14493E+04    0.80801E-01    0.11739E+01    0.72542E+07   -0.15032E+05
    46    0.14591E+04    0.86803E-01    0.10432E+01    0.72139E+07   -0.14355E+05
    47    0.14696E+04    0.93052E-01    0.89672E+00    0.71730E+07   -0.13696E+05
    48    0.14808E+04    0.99560E-01    0.74033E+00    0.71316E+07   -0.13058E+05
    49    0.14926E+04    0.10631E+00    0.57919E+00    0.70898E+07   -0.12443E+05
    50    0.15054E+04    0.11330E+00    0.41170E+00    0.70476E+07   -0.11856E+05
    51    0.15188E+04    0.12049E+00    0.23439E+00    0.70053E+07   -0.11296E+05
    52    0.15330E+04    0.12796E+00    0.41993E-01    0.69627E+07   -0.10763E+05
    53    0.15476E+04    0.13587E+00   -0.16937E+00    0.69200E+07   -0.10253E+05
    54    0.15624E+04    0.14419E+00   -0.39560E+00    0.68771E+07   -0.97630E+04
    55    0.15777E+04    0.15290E+00   -0.63249E+00    0.68342E+07   -0.92899E+04
    56    0.15937E+04    0.16186E+00   -0.88191E+00    0.67912E+07   -0.88314E+04
    57    0.16102E+04    0.17096E+00   -0.11437E+01    0.67482E+07   -0.83887E+04
    58    0.16273E+04    0.18020E+00   -0.14184E+01    0.67051E+07   -0.79636E+04
