#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.51257E+04    0.41387E+01   -0.39743E-02    0.41387E+01    0.55394E-01   -0.18378E-04   -0.39743E-02   -0.18378E-04    0.80316E-07
     3    0.59037E+04    0.50274E+01   -0.40621E-02    0.50274E+01    0.88685E-01   -0.21823E-04   -0.40621E-02   -0.21823E-04    0.94767E-07
     4    0.59291E+04    0.48629E+01   -0.36305E-02    0.48629E+01    0.98021E-01   -0.21589E-04   -0.36305E-02   -0.21589E-04    0.10637E-06
     5    0.56156E+04    0.43197E+01   -0.31335E-02    0.43197E+01    0.85539E-01   -0.18868E-04   -0.31335E-02   -0.18868E-04    0.11619E-06
     6    0.51802E+04    0.36720E+01   -0.26973E-02    0.36720E+01    0.62176E-01   -0.14619E-04   -0.26973E-02   -0.14619E-04    0.12464E-06
     7    0.47275E+04    0.30301E+01   -0.23508E-02    0.30301E+01    0.38975E-01   -0.97318E-05   -0.23508E-02   -0.97318E-05    0.13203E-06
     8    0.43008E+04    0.24386E+01   -0.20932E-02    0.24386E+01    0.22259E-01   -0.50367E-05   -0.20932E-02   -0.50367E-05    0.13853E-06
     9    0.39166E+04    0.19493E+01   -0.19143E-02    0.19493E+01    0.13109E-01   -0.11907E-05   -0.19143E-02   -0.11907E-05    0.14428E-06
    10    0.35777E+04    0.15822E+01   -0.17968E-02    0.15822E+01    0.94014E-02    0.14906E-05   -0.17968E-02    0.14906E-05    0.14935E-06
    11    0.32828E+04    0.13135E+01   -0.17230E-02    0.13135E+01    0.82613E-02    0.29939E-05   -0.17230E-02    0.29939E-05    0.15385E-06
    12    0.30273E+04    0.11501E+01   -0.16782E-02    0.11501E+01    0.77074E-02    0.34105E-05   -0.16782E-02    0.34105E-05    0.15780E-06
    13    0.28053E+04    0.10808E+01   -0.16541E-02    0.10808E+01    0.68864E-02    0.28956E-05   -0.16541E-02    0.28956E-05    0.16125E-06
    14    0.26118E+04    0.10837E+01   -0.16447E-02    0.10837E+01    0.59936E-02    0.16703E-05   -0.16447E-02    0.16703E-05    0.16426E-06
    15    0.24435E+04    0.11306E+01   -0.16469E-02    0.11306E+01    0.53158E-02    0.16484E-06   -0.16469E-02    0.16484E-06    0.16686E-06
    16    0.22977E+04    0.11956E+01   -0.16577E-02    0.11956E+01    0.50552E-02   -0.11960E-05   -0.16577E-02   -0.11960E-05    0.16910E-06
